data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38209,8340000000,8510000000,8330000000,8480000000,6456094727,18820000
38210,8560000000,8610000000,8510000000,8510000000,6478936035,18415000
38211,8460000000,8620000000,8430000000,8620000000,6562680664,28485000
38212,8620000000,8800000000,8520000000,8760000000,6669267090,24825000
38215,8720000000,8760000000,8530000000,8600000000,6547455078,18070000
38216,8700000000,8720000000,8510000000,8510000000,6478936035,14355000
38217,8590000000,8640000000,8450000000,8600000000,6547455078,20750000
38218,8690000000,8840000000,8680000000,8830000000,6722562988,27970000
38219,8790000000,8790000000,8670000000,8680000000,6608359375,16310000
38222,8740000000,8790000000,8620000000,8760000000,6669267090,21770000
38223,8780000000,8940000000,8690000000,8900000000,6775854004,20250000
38224,8920000000,9060000000,8860000000,9020000000,6867215332,22865000
38225,9100000000,9180000000,9070000000,9120000000,6943348145,24855000
38226,9120000000,9200000000,9080000000,9170000000,6981413086,20145000
38229,9170000000,9250000000,9110000000,9160000000,6973799805,12080000
38230,9020000000,9080000000,8930000000,9020000000,6867215332,23415000
38231,9020000000,9140000000,8950000000,9060000000,6897667969,18865000
38232,9040000000,9120000000,8960000000,9040000000,6882439453,17605000
38233,8920000000,8960000000,8730000000,8730000000,6646428223,32385000
38236,8700000000,8730000000,8570000000,8670000000,6600746094,23680000
38237,8680000000,8740000000,8640000000,8680000000,6608359375,13220000
38238,8680000000,8800000000,8670000000,8670000000,6600746094,17265000
38239,8670000000,8800000000,8620000000,8780000000,6684495117,32100000
38240,8840000000,9190000000,8760000000,9150000000,6966187012,43785000
38243,9270000000,9500000000,9240000000,9500000000,7232652832,39665000
38244,9740000000,9760000000,9620000000,9670000000,7362080078,40560000
38245,9550000000,9700000000,9540000000,9560000000,7278333496,24865000
38246,9420000000,9720000000,9380000000,9600000000,7308786133,29380000
38247,9600000000,9640000000,9370000000,9390000000,7148907715,34445000
38250,9370000000,9530000000,9340000000,9380000000,7141292480,23480000
38251,9460000000,9490000000,9380000000,9480000000,7217426758,17715000
38252,9500000000,9580000000,9250000000,9250000000,7042319824,19635000
38253,9160000000,9200000000,9090000000,9200000000,7004253418,23755000
38254,9120000000,9230000000,9080000000,9180000000,6989026855,17320000
38257,9180000000,9180000000,9180000000,9180000000,6989026855,0
38258,9180000000,9180000000,9180000000,9180000000,6989026855,0
38259,9180000000,9180000000,9180000000,9180000000,6989026855,0
38260,9060000000,9180000000,9060000000,9160000000,6973799805,26600000
38261,9160000000,9270000000,9120000000,9220000000,7019479980,26530000
38264,9420000000,9800000000,9420000000,9800000000,7461052246,31830000
38265,9860000000,9860000000,9680000000,9760000000,7430599121,23165000
38266,9790000000,10020000000,9700000000,9890000000,7529572754,36150000
38267,9820000000,9890000000,9640000000,9760000000,7430599121,18145000
38268,9660000000,9750000000,9490000000,9530000000,7255494629,41800000
38271,9410000000,9450000000,9310000000,9330000000,7103225098,38415000
38272,9280000000,9280000000,8920000000,8920000000,6791079590,53085000
38273,8940000000,9020000000,8930000000,8980000000,6836758789,36390000
38274,8960000000,8960000000,8740000000,8880000000,6760628418,50850000
38275,8820000000,8930000000,8730000000,8740000000,6654041504,64695000
38278,8640000000,8720000000,8560000000,8650000000,6585522949,37125000
38279,8800000000,8870000000,8720000000,8770000000,6676880371,26410000
38280,8620000000,8780000000,8550000000,8570000000,6524614746,24915000
38281,8570000000,8720000000,8550000000,8580000000,6532228027,29165000
38282,8700000000,8830000000,8680000000,8750000000,6661653809,23290000
38285,8660000000,8660000000,8490000000,8560000000,6517000488,31530000
38286,8590000000,8670000000,8580000000,8600000000,6547455078,13740000
38287,8670000000,8700000000,8490000000,8580000000,6532228027,26595000
38288,8820000000,8850000000,8680000000,8790000000,6692107910,22675000
38289,8760000000,8800000000,8650000000,8790000000,6692107910,26760000
38292,8750000000,8820000000,8660000000,8790000000,6692107910,11390000
38293,8720000000,8860000000,8720000000,8800000000,6699723145,16450000
38294,8840000000,9100000000,8820000000,9100000000,6928120605,25215000
38295,9120000000,9130000000,8960000000,8960000000,6821532227,30080000
38296,9040000000,9080000000,8990000000,9050000000,6890054688,32055000
38299,9170000000,9170000000,8800000000,8800000000,6699723145,21140000
